amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
270,Help surprise Steve with Enchroma glasses!,U.S. Dollar,"Dec 14, 2017",of $349 goal,5,"Hi everyone! I've been wanting to do this for about a year but
      Steve has always said no because these glasses are too expensive.
      So..... I thought I would get creative and do it this way. Steve is colorblind and I would love to give him the
      ""gift of COLOR""! These glasses are supposed to be
      amazing and with your help, Steve will finally be able to see all
      the colors in the Crayola box lol! (He hates words like
      ""violet"" and ""burnt sienna"" because he has no
      idea what they look like!) Also, he can finally dress himself without asking me
      ""does this match""? Although it's sort of cute to see the
      types of things he pairs together, it's time he literally gets to
      see for himself. The glasses themselves are $349 plus an additional $150 for a
      prescription pair totaling $499. If you would like to be a part of
      this amazing gift, any little bit helps and I know Steve would be
      so touched, and probably embarrassed to know that you donated. His birthday is in December so I'm hoping to give him the
      glasses by Dec 14 or by Christmas. Oh and by the way, I will film
      the whole thing and post his reaction so you all can be a part of
      this amazing experience. He might kill me for doing so but I'm
      doing this because I love him and want to give him the gift of a
      lifetime. I would love for our friends and family to be a part of
      this amazing gift! I am so excited for him!! Thank you!! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/31I8Df
"4,710",Please help to save Yvonne's arm,U.S. Dollar,"Nov 10, 2017",of $48.3k goal,57,"Hello! My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumors to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumors whenever needed to preserve my life. In November 2017, I need to under go surgery again to remove multiple
  large tumors called schwannoma from both my arms. They have made my
  fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms. I cannot become incapacitated, my mother will be helpless if I loose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late. Some brief details about the surgery: Where: St Vincent Medical Center, Los Angeles. By Who: Dr. Gregory P Lekovic, Neurosurgeon. When: November 2017 For Malaysian supporter, you may contribute to my local bank account: Name:  Foong Ming Niang Public Bank Berhad:  6887203135 or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently. http://www.worksofgratitude.com/iv.html Thank you Yvonne Foong",https://fundrazr.com/savemyarm
"15,469",Ride to Give- Flash Ironman Fundraiser for Stephen,U.S. Dollar,,of $15k goal,921,"On Sunday, September 24th Team Ride to Give and Team Boom will be participating in Ironman 70.3 Augusta in Augusta , GA Kevin Baxter 1130 Austin Marshall 101 Bill Halstead 102 Stacy Hughes Halstead Team Boom 4019 Larry Daniel Hughes Team Boom 4019 Crystal Condon Team Boom - 4019 David Nazaroff Ride To Give 3.0 4065 Sarah J. Keeney Ride To Give 3.0 4065 Kelly Meredith Ride To Give 3.0 4065 George Abrams 1108 Erik and Patty Heine of Oklahoma City, OK were excited to welcome
  their first child, a son Stephen, in 2007. After he was born, the
  Heines observed Stephen had broad thumbs and toes, which they found
  odd but endearing. He also had a LOT of hair! From birth, Stephen
  struggled with feeding which caused him to have trouble gaining
  weight. It was frustrating, but they chalked it up to reflux and enjoy
  their sweet new baby. As he grew, Stephen hit his milestones on time, but always at the
  late end of the ""normal"" range. When Stephen was nine months
  old, he had hernia surgery, which led to the discovery of a heart
  murmur and a kidney abnormality. Following surgery, Stephen's physical
  development stalled, and at one year old, he was referred for Early
  Intervention for therapies. There were still lingering
    questions about his health issues, and after additional testing,
    Stephen was diagnosed with Rubinstein Taybi Syndrome in
    May of 2008. Rubinstein Taybi Syndrome , a
  genetic disorder which affects approximately 1:250,000 births, is
  characterized by short stature, moderate to severe intellectual
  disability, distinctive facial features, and broad thumbs and first
  toes. Additional features of the disorder can include eye
  abnormalities, heart and kidney defects, dental problems, and obesity.
  These signs and symptoms vary among affected individuals. People with
  this condition have an increased risk of developing noncancerous and
  cancerous tumors, including certain kinds of brain tumors. Cancer of
  blood-forming tissue (leukemia) also occurs more frequently in people
  with Rubinstein Taybi syndrome. Infants born with this severe form of
  the disorder usually survive only into early childhood. Thankfully Stephen’s overall health has balanced out, and he
    is a happy and thriving 4th grader. Currently, Stephen receives private physical and occupational
  therapies, as well as physical, occupational, and speech therapy in
  his school setting.  To meet his goals of independence as an adult,
  Stephen spends approximately 3/4 of his school day with his typically
  developing peers, in the regular education classroom. Also, he has
  difficulty communicating verbally, so he uses Proloquo2Go software on an iPad
  mini to communicate. Doctors have not given the Heines a timeline as to what they should
  expect with Stephen, so they take everything one day at a time.
  They're determined to not let their child's disability or illness keep
  them from doing the things they love and find a way to adapt and make
  that activity possible. Erik is an avid runner, and for years it has
  been an activity he can share with Stephen. Up until recently, they
  have been able to use a traditional running stroller which Stephen has
  now out grown and is not 100% safe for him. After much research, Eric
  found the Blade at www.hoytrunningchairs.com . Hoyt Running Chairs designs and
    manufactures state-of-the-art racing chairs for individuals with
    disabilities. As a subdivision of Southbridge Tool &
    Manufacturing , they are able to custom build each chair to the
    comfort and needs of both the rider and the runner. They pride
    themselves on getting to know their clients and providing them with
    the ultimate racing experience. Mike Didonato , the president of Southbridge
    Tool & Manufacturing first heard the story of Rick and Dick Hoyt in 2009. Dick Hoyt has pushed his son Rick,
      who was diagnosed a spastic quadriplegic with cerebral palsy after
      his birth in 1962, in over 1,000 races including marathons,
      triathlons, and 6 Ironman races. Their story inspired Mike,
    and a few months later he happened to meet Dick Hoyt at a local
    grocery store. Mike mentioned his family’s manufacturing company and
    offered to fix Rick’s chair if needed. The next year, Dick Hoyt
    showed up at Southbridge Tool and Manufacturing and asked if a brand
    new chair could be built for Rick because he was very uncomfortable
    in his original chair. The Signature was built in time for the Hoyts to compete in the 2010 Boston Marathon . The chair was
    beautifully built for comfort, speed, and maneuverability. Soon,
    other teams and families began asking for a chair. In 2014, Mike was
    approached by Nick Sotar , a retired bicycle shop owner, who
    admired The Signature but had some ideas to improve the design. Nick
    presented Mike with a design for a revolutionary new racing chair
    called The Blade , which is easily
    disassembled and can be shipped in a bike box. After Stephen was diagnosed with Rubinstein Taybi syndrome at 18
  months old, it took almost seven years before they were able to get
  him on non-income-based Medicaid. As a result, the Heines ate through
  their entire family savings paying for medical bills and therapies
  even with insurance. Unfortunately, the cost of a Blade racing
    wheelchair is approximately 10% of Erik’s gross annual
  salary as a Professor of Music at Oklahoma City University ,
  and not something they have sitting around or in a savings account.
  The Blade has not been deemed ""essential"" by their
  insurance. However, Stephen's Occupational and Physical Therapists
  both believe that a chair that he can use for over a decade IS
  essential to helping him relieve stress and participate in an outdoor
  activity like his typically-developing peers. Ride to Give agrees and wants to provide Stephen with a custom
    built Blade that will fit him perfectly and will be used for years
    to come. Our mission at RTG is to turn athletic ability into
  fundraising power for families with children who are disabled,
  injured, or ill.  We think Stephen and Erik will make fantastic
  ambassadors for Team Ride to Give and we can’t wait to see them race
  for the first time with their new Hoyt Running Chair . Please help us purchase the
  Blade running chair and accessories for Stephen by making a tax
  deductible donation to Ride to Give. At this time, Stephen does not have a Facebook Page of his
    own, so follow Ride to GIve on Facebook for all updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has complete discretion and control over the use of all donated funds. Questions about how your donation is used can be answered by clicking here. Please visit Ride to Give on the web at www.ridetogive.com or on Facebook at www.facebook.com/ridetogive .",https://fund.ridetogive.com/e1HGb1
225,Help us get John Enchroma glasses,U.S. Dollar,"Oct 21, 2017",of $400 goal,4,"Everyone knows John and knows
      that he is colorblind.He loves life and we want him to be able to
      experience it to the fullest. This year, Deirdre and I want to
      make his birthday the best yet and want to help him celebrate his
      recent promotion to Assistant Service Manager. He kicked ass in
      training and took names! We want to raise money to buy him
      Enchroma glasses which will allow him to see the world and all the
      wonderful colors in it. Please help us raise the money
      for these glasses (they are kinda pricey for us to do alone). Any
      amount is very much appreciated and it will go directly to his glasses. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/61HWQc
"1,445",Merrick's Battle Continues Until He Wins..........,,,,,"Our 14yo son Merrick was diagnosed in December 2014 with
  Medulloblastoma, a cancer in the cerebellum of the brain.  Surgery
  removed a third of the tumor and allowed for testing which identified
  the cancer as a more difficult to treat and more likely to recur
  type.  After 8 months of intensive treatment involving Radiation and
  Chemotherapy he enjoyed 10 months cancer free.  In August of 2016, his
  MRI showed recurrence in a new area of the cerebellum.  Our next plan
  of attack started in September of 2016 with treatment called Memmat. 
  That treatment involved injecting chemotherapy directly into his head
  via an Ommaya reservoir that would circulate it around the brain and
  into the spine.  He also took a variety of chemo medications orally. 
  This treatment worked until July of  2017 when progression and new
  tumors were discovered.  We began yet another therapy mid July 2017. 
  He had 3 surgeries from mid July to early August to deal with a CSF
  leak in his head.  He started round 3 of antibody treatment at MUSC on
  August 29th and will begin yet another chemotherapy drug.  Next scans
  are mid September 2017 to check his status.  We continue to fight and
  appreciate all your prayers, well wishes and assistance in every way. 
  God Bless",https://fundrazr.com/merricksbattle
230,WE NEED YOU AGAIN! Gov not responding to us at all,U.S. Dollar,"Nov 15, 2017",of $3k goal,4,"Hi All! Most of you know that we have
      had a rough year in terms of work, medical procedures, lack of
      work and more procedures. Ethan finally went in and made
      it out of the heel cord surgery we've been anticipating for months. We found out that Ethan has an
      incredibly high arch and Dr. Dow said there is a chance that he
      will need more surgery. Right now, Ethan is not allowed
      to put any weight on his feet at all, meaning, I must stay home
      with him 24/7 in case of fire or emergency. I have to bathe him,
      help him use the restroom, dress him, feed him, and administer his
      medication, all while still attending online courses. I applied for SSI for Ethan
      over 3 months ago. I have received no response and cannot get
      through to the office. I have written to Senator Tim
      Scott, asking for any information that would point me in the right
      direction for any grants or funding that our particular situation
      could be eligible for. I have also written to the White House with
      the same questions. The only thing I have
      accomplished by reaching out to local, state and fed. gov. is that
      now my email is bombarded with stories of why ""this
      person"" is working for the people, etc... No one from the government (on
      any level) has even acknowledged our concerns, much less responded
      with any sort of advice on where to look. I am a single mom. My son has
      Aspergers. My son makes straight As. I currently have a 4.0 and I
      am actively taking college courses. Ethan's father has never paid
      child support and I cannot pursue him for financial assistance
      since he is not a US citizen. There must be something we are
      eligible for??!! One would think, right? Well, I have yet to find anything. I have always worked. I have
      always been Ethan's provider with the help from immediate family
      when really needed. Ethan does have Medicaid and we
      finally received food stamps. But what of rent? Utilities?
      Toiletries? School supplies? Anything that we cannot eat? It is not anyone's
      responsibility, and I absolutely hate that this is the place I
      have to turn AGAIN since I am not eligible for help since
      I am physically capable of working. Apparently, our situation falls
      in some grey area and no one can really give me an answer on how I
      can find help. If anyone knows of someone who
      can help us find these answers, Please let me know, as I am out of ideas. Once again, We thank you and
      love you so much for all of your continued support and, once more,
      I would never ask unless absolutely urgent and necessary. Thank you all... again. Please share, as the more who
      know, the better chance we can find some answers. Love, Steph and Ethan PS. Ethan is feeling much
      better and is taking this all so well, considering! He is an
      amazing young man and I could not be prouder of him!",https://fundrazr.com/41I9Cb
"2,063",Make a difference in Suzy Rosema's fight for life!,U.S. Dollar,"Nov 2, 2017",of $7k goal,40,"Any fan who's been to Media West Con in Lansing, or to many of the
  movie theatres in the area, has probably run into Scott and Suzy
  Rosema. Scott's a big guy with a big voice and an incredible talent
  for drawing comic and fantasy characters. Suzy is a brilliant stained
  glass artist with a ready smile. They've been regular MWC attendees
  for many years. They sometimes sell Scott's prints at the local movie theaters. Suzy has just been diagnosed
      with breast cancer. This is both emotionally devastating, and financially horrific. Scott
  and Suzy are already struggling to catch up from a period of financial
  hardship, and this is a mighty blow. What can you do? Spread the word . PLEASE tell others about this fundrazr effort. If even 20 people can
  give $5, that's food for a week. If 20 people give $10, that's the
  electric bill. Sheer numbers matter. Donate. Any amount helps. Truly. Mortgage companies
  won't take partial payments, so sometimes that $3 that is all you or a
  friend can afford can make a huge difference. Pray . However you talk to the Force, please do. Remind people about the fundraiser. They may mean to make a donation,
  but need to wait till payday and then forget. It will take all of us. You'll likely have noticed my name isn't in here. That's because I'm
  not important in this, I'm merely getting things going. I've known
  Suzy and Scott for something like 20 years, and they are Good People.
  So please help. ALL DONATIONS GO DIRECTLY TO SCOTT AND SUZY.",https://fundrazr.com/01Hqq9
240,Let a groom SEE his bride in all the glory,U.S. Dollar,"Sep 1, 2018",of $349 goal,7,"We have an amazing friend who
      has been through a lot with us. He has been friends with my
      husband since 6th grade. When I started dated my husband, he
      accepted me right into the group. When it came time to get married
      he was there to officiant the ceremony both times. He helped
      support my husband when his dad passed. And more recently was
      there to help us lay his mother to rest as well. He has accepted
      and loved our son as his own. He is the best god father we could
      have ever asked for. Andrew is engaged to a wonderful
      lady and set to marry his gorgeous fiance in a year. He already
      believes she is beautiful, but what better gift could you receive
      for your wedding than to be able to fully see the woman that you
      love. I would love to let him see all the fall colors, the glory
      of his wedding, and his beautiful blushing bride. Thurman, as we
      all know, is colorblind. He doesn't let this hinder him in anyway.
      Giving him these glasses would only enhance his experiences and
      make his wedding even more memorable. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/SeeTheBride
"1,606",Health Care for The School Of Hope,U.S. Dollar,"Dec 31, 2017",of $8.4k goal,16,"My name is Manichanh, I am a part of a
  small group of health care workers whom are dedicated to improving
  lives of those less fortunate. In addition to assisting locally, we
  also travel to one of the poorest neighborhoods in Guatemala where we
  support The School of Hope  and Rekko Clinic. http://www.eftc.org.uk/our-work and http://www.rekko.org/index_en.html We are making our annual trip to Jocotenango, Guatemala in September
  2017.  We support a program that improves the lives of hundreds of
  improverished children. We cover our own travel and all associated
  expenses. We are asking you to help us raise funds for this school so
  that the children can obtain medical care at local clinics and
  hospitals. We continue to work with a local clinc and strengthen those
  ties. All funds go directly towards the cost of medical care. In 2016 fundraiser we raised $7,745.00, $1,235 more than the
  goal! The projected expenses for  medical care (including
  hospitalization, consults, labs, x-rays, scans, medicines,
  transportation, etc) for 2017 equates to $789.31 per month or $9471.73
  for the whole year. After we deducted the $1,235 ""excess"" we
  raised last year, the total goal for 2017 is $8,400. This puts us just past the financial goal. The reason for the increase in the budget this year is: The Quetzal has strengthened substantially compared to the
      USD, previously it was 7.75/1, now it is down to 7.3/1. Over the last year we have increased our numbers to 679
      students across the Foundation. On November 18, 2017 we are hosting a fundraiser at the Yakima Sports
  Center. We will be sharing our stories while hosting a silent auction,
  having a split the pot or 50/50 (winner took home almost $200 last
  year!) and games. Please help us with this fundraiser that will enable
  hundreds of impoverished children obtain access to healthcare. We support children and their future. People (specifically children)
  are the best investment. In order to improve a population you need
  empowerment and independence. The proven form has been education.
  These children face countless socioeconomic and psychological
  barriers. A holistic approach is required to improve longterm
  outcomes. What these children face on a near daily basis makes all of
  our life obstacles seem pity. The staff and volunteers provide long
  term commitment. They genuinely care and love the community in which
  they are empowering. They sacrifice so much for others. This is a long
  term and sustainable commitment. They aren't going anywhere unless
  these socioeconomic issues are resolved. If you are able, please help us and help spread the word. Any
  donation is greatly appreciated. These children are combating extreme
  poverty and many face inhuman conditions. This school provides a safe
  haven where they can break the cycle of poverty. All donations go
  directly to medical cost and does not cover any administration fees.
  We have never needed as much support as we are asking for this year.
  Any and all help is greatly appreciated! Please consider a donation by
  clicking the provided button. Please contact me direclty with any questions or concerns. We will
  provide a list of auction items as things progress. Best to you all! Manichanh Ratts AUCTION ITEMS Authentic items from Guatemala - Blankets, pictures/painting, beer
  gift basket, coffee gift basket, apron and salsa dish. Gift certificates for bicycle services valued at $65 each from the
  rad guys at Revolutoin Cycle! https://www.facebook.com/Revolution-Cycles-228604440350/ Certificates for 2-60min facials, valued at $65 each from enso
  massage studio. http://www.ensomassagestudio.com Membership from Pro-Motion Gym! http://pro-motionfunctionalfitness.com/free-seminar-floor-of-the-core/ Custom made slimline pen and a bottle stopper through Chris
    Joyce! https://www.etsy.com/shop/joycecustomdesigns Gift certificate from Dr. Yami Lancaster's awesome practice! http://www.nourishyakima.com/about-me.html Gift certificates from Lincoln Ave Expresso! http://lincolnavenueespresso.com Gift basket full of goodies from Berchman's
  Brewing Company! http://berchmansbrewingcompany.com Gift basket and gift card from Alex! http://alexandrasonsecond.com",https://fundrazr.com/Health-Care-The-School-of-Hope
"1,532,509",American Gut,,,,,"The Human Microbiome Project and other microbiome projects worldwide
  have laid an important foundation for understanding the trillions of
  microbes that inhabit our bodies and their impact on health and
  disease. However, opportunities for the public to get involved in such
  research have been limited. Now, American Gut gives you an opportunity
  to join this research project and learn what’s living on and inside you American Gut is a project built on open-source, open-access
  principles. The data we collect is de-identified and then deposited
  into open repositories for the benefit of other researchers and scientists. Join the project! Joining is simple! Select the kit you would like from the list of
  options on the left-hand side by clicking “Claim this perk”. Your kit
  will be sent via mail within 1-2 weeks after payment. International participants are also welcome to join. However, please
  note that a $25 shipping fee does apply. We ask that samples be sent
  back to our lab within 48-72 hours. The cost of expedited shipping to
  our lab in the US from some locations can be expensive, so it is also
  recommended that you look into the cost of return shipping. If you are currently residing in Europe, visit our sister site the British Gut to join this
  research project. A few important points to remember before joining this
    research project: 1. Note your de-identified information will be part of a research
  study and will be made available in a publicly available research
  database. That is, any personal information that might easily identify
  who you are will be removed before being placed in the public database. 2. If you decide that you no longer wish to continue in this study,
  you will be requested to contact the American Gut Project help line
    ( info@americangut.org ) to inform us of your intent
  to withdraw. You may request a refund within 50 days of your original
  payment if you have not yet used your kit. Please note that the
  Fundrazr transaction fee will be deducted from your refund. 3. The consent forms are maintained on the participant website;
  details are included in your kit. To sign the consent form, you must
  agree to use an electronic format for your signature in accordance
  with the United States' eSIGN Act and California's UETA Act. You have
  the right to obtain the electronic record in a non-electronic form. 4. The results you receive from submitting a sample are not meant to
  act as medical or health diagnoses. We will not be able to provide any
  clinical or medical information from your results. You may find a full overview of the project at http://humanfoodproject.com/americangut/ , or visit
  us at www.americangut.org .",https://fundrazr.com/americangut
